"","array","month.day","temp.avg","hum.avg","dew.pt.avg","light.avg","light.min","light.max","temp.min","temp.max","temp.std","light.std","dew.pt.std","hum.std","hum.max","hum.min","dp.max","dp.min","daynum","grove"
"80","Cluster","12-31",11.0071111111111,61.4184027777778,2.28819444444444,17656.0704861111,0,176356.7,3.578,27.468,6.23857169630285,39364.5721828961,2.67300341400048,18.219369069391,92,36,8.1,-2.3,31,"OC"
"81","NW","01-01",10.3573819444444,NA,NA,8192.49375,0,132267.5,3.788,21.855,4.70729154391292,18445.2028881376,NA,NA,NA,NA,NA,NA,32,"OC"
"82","NW","01-02",8.00423263888889,NA,NA,7172.796875,0,132267.5,1.221,21.473,4.86745630590984,16249.0999693553,NA,NA,NA,NA,NA,NA,33,"OC"
"83","NW","01-03",8.94599652777778,NA,NA,7262.08506944444,0,110223,2.943,22.717,5.07444559680863,15494.1839171865,NA,NA,NA,NA,NA,NA,34,"OC"
"84","NW","01-04",9.7001875,NA,NA,6372.63680555556,0,132267.5,3.261,23.484,5.1832405815661,15529.14176852,NA,NA,NA,NA,NA,NA,35,"OC"
"85","NW","01-05",9.91278472222222,NA,NA,639.895486111111,0,5511.1,7.079,14.325,2.05737575029071,1162.36634240315,NA,NA,NA,NA,NA,NA,36,"OC"
"86","NW","01-06",12.14184375,NA,NA,4937.18298611111,0,121245.2,7.28,17.475,3.20046113509335,12205.5449616742,NA,NA,NA,NA,NA,NA,37,"OC"
"87","NW","01-07",14.6750173611111,NA,NA,3609.10416666667,0,37200.2,11.334,22.238,2.26360750044566,6068.76172714735,NA,NA,NA,NA,NA,NA,38,"OC"
"88","NW","01-08",13.5569791666667,NA,NA,3853.87256944444,0,30311.3,10.259,18.901,2.42687126398757,6447.34128839446,NA,NA,NA,NA,NA,NA,39,"OC"
"89","NW","01-09",13.1352152777778,NA,NA,839.440277777778,0,7233.4,10.357,15.378,1.03154586922893,1387.74267995144,NA,NA,NA,NA,NA,NA,40,"OC"
"90","NW","01-10",12.3002395833333,NA,NA,6381.27395833333,0,99200.7,6.978,24.158,3.90944655380195,13026.6053099427,NA,NA,NA,NA,NA,NA,41,"OC"
"91","NW","01-11",13.2786805555556,NA,NA,5267.128125,0,93689.5,8.182,23.484,4.00731348076735,12808.9262304516,NA,NA,NA,NA,NA,NA,42,"OC"
"92","NW","01-12",12.3065416666667,NA,NA,4778.86319444444,0,77156.1,8.382,24.255,3.29731360696069,9321.55967377838,NA,NA,NA,NA,NA,NA,43,"OC"
"93","NW","01-13",11.4753958333333,NA,NA,2652.60659722222,0,22044.6,6.166,16.808,3.04875912432759,4367.20007861002,NA,NA,NA,NA,NA,NA,44,"OC"
"94","NW","01-14",13.1342951388889,NA,NA,1729.55763888889,0,13777.9,10.553,19.567,1.65135826885074,2802.37569811596,NA,NA,NA,NA,NA,NA,45,"OC"
"95","NW","01-15",12.9800291262136,NA,NA,1913.00436893204,0,10677.8,10.748,14.804,1.01509720746879,2141.58138453018,NA,NA,NA,NA,NA,NA,46,"OC"
"96","NW","01-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,"OC"
"97","NW","01-17",14.1470084033613,NA,NA,1266.8,0,23422.4,11.916,19.187,1.46137283665921,3168.4718269169,NA,NA,NA,NA,NA,NA,48,"OC"
"98","NW","01-18",13.9382916666667,NA,NA,9114.49513888889,0,148801,9.077,24.835,4.13168559704418,18081.2108745133,NA,NA,NA,NA,NA,NA,49,"OC"
"99","NW","01-19",16.2039305555556,NA,NA,9129.63298611111,0,148801,9.669,28.853,5.14944708665858,19074.4034051252,NA,NA,NA,NA,NA,NA,50,"OC"
"100","NW","01-20",13.6508055555556,NA,NA,3379.47013888889,0,22044.6,10.259,18.331,2.2005125639135,5140.56590219254,NA,NA,NA,NA,NA,NA,51,"OC"
"101","NW","01-21",12.1735833333333,NA,NA,11048.68125,0,154312.1,6.573,22.429,3.69371480763464,22304.0634036726,NA,NA,NA,NA,NA,NA,52,"OC"
"102","NW","01-22",11.7862916666667,NA,NA,12992.5479166667,0,176356.7,4.102,30.659,5.73523963863268,24695.8970915051,NA,NA,NA,NA,NA,NA,53,"OC"
